t,AcX,AcY,AcZ,GyX,GyY,GyZ
20.315,-0.597,-0.092,-0.913,-22.603,-8.176,-14.634
20.37,-0.543,-0.155,-0.93,-27.519,-2.824,-12.466
20.425,-0.632,-0.157,-0.903,-15.679,2.718,-3.672
20.479,-0.585,-0.123,-0.897,-5.771,-0.336,1.786
20.531,-0.579,-0.109,-0.917,-2.527,-0.893,1.015
20.582,-0.587,-0.106,-0.921,-2.954,-1.809,-2.916
20.635,-0.592,-0.105,-0.915,-2.672,-0.45,0.55
20.687,-0.586,-0.104,-0.921,-2.695,-0.687,-0.794
20.741,-0.578,-0.103,-0.919,-2.985,-0.931,-0.962
20.794,-0.583,-0.104,-0.916,-2.603,-0.656,-0.069
20.846,-0.583,-0.106,-0.917,-2.71,-0.771,-0.42
20.899,-0.588,-0.103,-0.916,-2.756,-1.122,-0.71
20.953,-0.58,-0.109,-0.92,-2.672,-0.832,-0.336
21.006,-0.581,-0.101,-0.926,-2.611,-0.763,-0.351
21.059,-0.584,-0.1,-0.914,-2.832,-0.74,-0.458
21.111,-0.582,-0.109,-0.915,-2.779,-0.824,-0.656
21.165,-0.588,-0.103,-0.919,-2.748,-0.733,-0.397
21.218,-0.584,-0.105,-0.909,-2.725,-0.863,-0.221
21.271,-0.583,-0.107,-0.918,-2.847,-0.756,-0.496
21.324,-0.583,-0.102,-0.913,-2.725,-0.939,-0.603
21.377,-0.585,-0.102,-0.919,-2.664,-0.809,-0.176
21.43,-0.589,-0.108,-0.915,-2.779,-0.809,-0.42
21.483,-0.578,-0.102,-0.918,-2.74,-0.878,-0.656
21.536,-0.585,-0.101,-0.918,-2.687,-0.863,-0.443
